,artist.hotttnesss,bars_confidence,bars_start,beats_confidence,beats_start,duration,end_of_fade_in,familiarity,key,key_confidence,latitude,longitude,loudness,mode,mode_confidence,song.hotttnesss,start_of_fade_out,tatums_confidence,tatums_start,tempo,terms_freq,time_signature,time_signature_confidence,year
0,0.40199754299999996,0.643,0.58521,0.8340000000000001,0.58521,218.93178999999998,0.247,2494,1.0,0.736,37.15735675013362,-63.93335786851952,-11.197000000000001,0,0.636,1.0,218.93200000000002,0.779,0.28519,92.198,1.0,4.0,0.778,0
4,0.401723686,0.175,1.06368,0.883,0.13576,209.60608,0.066,3171,2.0,0.092,37.15735675013362,-63.93335786851952,-4.501,1,0.371,1.0,198.699,1.0,0.13576,129.738,0.8872883009999999,4.0,0.562,2007
8,0.332275747,0.8059999999999999,1.9188599999999998,0.44,1.22595,269.81832,5.3,841,4.0,0.7170000000000001,37.15735675013362,-63.93335786851952,-13.495999999999999,1,0.652,0.0,258.99,0.121,1.22595,86.64299999999999,0.9597662459999999,4.0,0.48700000000000004,1984
10,0.296268954,0.873,0.11194000000000001,0.873,0.11194000000000001,218.77506,2.125,417,5.0,0.354,35.21962,-80.01955,-10.021,0,0.485,0.0,207.012,0.22899999999999998,0.11194000000000001,146.765,0.9560807509999999,1.0,0.0,0
11,0.351555861,0.018000000000000002,1.45439,1.0,0.42896000000000006,245.21097999999998,0.35700000000000004,2103,7.0,0.07,37.15735675013362,-63.93335786851952,-7.545,1,0.6859999999999999,0.0,227.48,0.728,0.1727,117.975,1.0,4.0,0.835,0
12,0.37948217,0.013000000000000001,1.2229,0.6990000000000001,0.29639,226.35057,0.0,2445,9.0,0.205,37.15735675013362,-63.93335786851952,-6.632000000000001,1,0.305,0.0,221.553,1.0,0.06508,130.04,1.0,4.0,0.0,0
13,0.251936525,1.0,0.46223000000000003,1.0,0.46223000000000003,191.84281000000001,0.38,72,10.0,0.0,37.15735675013362,-63.93335786851952,-7.75,0,0.198,0.0,188.424,0.774,0.23506,137.334,0.977114901,1.0,0.319,0
15,0.447935481,0.507,1.32118,0.0,0.30065,491.12771,0.0,3060,7.0,1.0,43.648559999999996,-79.38533000000001,-8.576,1,0.8290000000000001,0.0,486.034,0.377,0.05047,119.82600000000001,1.0,4.0,0.7559999999999999,1987
16,0.330806357,0.125,1.19076,0.768,0.24795,228.5971,0.223,774,8.0,0.040999999999999995,37.16793,-95.84501999999999,-16.11,1,0.516,0.0,217.426,0.767,0.08584,127.756,0.830058031,5.0,0.579,0
18,0.51346329,0.03,0.8752,1.0,0.05728,290.29832000000005,0.145,3479,7.0,0.725,37.15735675013362,-63.93335786851952,-5.271,1,0.7559999999999999,1.0,285.605,0.23800000000000002,0.05728,150.062,1.0,4.0,0.9309999999999999,2004
19,0.0,0.026000000000000002,0.6682899999999999,0.821,0.22335,165.69423999999998,0.162,273,7.0,0.011000000000000001,37.15735675013362,-63.93335786851952,-6.787000000000001,1,0.568,0.0,157.391,0.682,0.22335,138.33100000000002,1.0,4.0,0.127,0
21,0.328553015,0.899,0.46253,0.899,0.46253,220.78649,0.20600000000000002,1475,11.0,0.809,38.8991,-77.029,-8.514,1,0.521,0.0,207.65599999999998,0.841,0.16228,110.382,0.9050930079999999,1.0,0.192,0
22,0.378254686,0.552,1.0693700000000002,0.0,0.5143399999999999,269.58322000000004,0.0,3299,2.0,0.596,49.80388,15.474910000000001,-8.05,1,0.6659999999999999,0.0,256.168,0.978,0.5143399999999999,111.874,0.935319892,4.0,1.0,0
